pin_id,success,length_mm,path
53,1,7.00,109.0:0.0 109.0:1.0 109.0:2.0 109.0:3.0 109.0:4.0 109.0:5.0 109.0:6.0 109.0:7.0
54,1,7.00,111.0:0.0 111.0:1.0 111.0:2.0 111.0:3.0 111.0:4.0 111.0:5.0 111.0:6.0 111.0:7.0
55,1,7.00,114.0:0.0 114.0:1.0 114.0:2.0 114.0:3.0 114.0:4.0 114.0:5.0 114.0:6.0 114.0:7.0
56,1,7.00,116.0:0.0 116.0:1.0 116.0:2.0 116.0:3.0 116.0:4.0 116.0:5.0 116.0:6.0 116.0:7.0
57,1,8.00,119.0:0.0 119.0:1.0 118.0:1.0 118.0:2.0 118.0:3.0 118.0:4.0 118.0:5.0 118.0:6.0 118.0:7.0
58,1,10.00,121.0:0.0 121.0:1.0 121.0:2.0 121.0:3.0 121.0:4.0 121.0:5.0 121.0:6.0 121.0:7.0 121.0:8.0 120.0:8.0 120.0:9.0
59,1,15.00,124.0:0.0 124.0:1.0 123.0:1.0 122.0:1.0 121.0:1.0 120.0:1.0 120.0:2.0 120.0:3.0 120.0:4.0 120.0:5.0 120.0:6.0 120.0:7.0 119.0:7.0 119.0:8.0 119.0:9.0 118.0:9.0
60,1,17.00,126.0:0.0 126.0:1.0 125.0:1.0 125.0:2.0 124.0:2.0 124.0:3.0 124.0:4.0 124.0:5.0 124.0:6.0 124.0:7.0 124.0:8.0 124.0:9.0 124.0:10.0 123.0:10.0 122.0:10.0 121.0:10.0 120.0:10.0 120.0:11.0
61,0,0.00,
62,0,0.00,
63,0,0.00,
64,0,0.00,
65,0,0.00,
66,0,0.00,
67,0,0.00,
68,0,0.00,
69,0,0.00,
