pin_id,success,length_mm,path
54,1,11.00,59.0:0.0 59.0:1.0 59.0:2.0 59.0:3.0 59.0:4.0 59.0:5.0 59.0:6.0 59.0:7.0 59.0:8.0 59.0:9.0 59.0:10.0 59.0:11.0
55,1,9.00,60.0:0.0 60.0:1.0 60.0:2.0 60.0:3.0 60.0:4.0 60.0:5.0 60.0:6.0 60.0:7.0 60.0:8.0 60.0:9.0
56,1,9.00,60.0:0.0 60.0:1.0 60.0:2.0 61.0:2.0 61.0:3.0 61.0:4.0 61.0:5.0 61.0:6.0 61.0:7.0 60.0:7.0
57,1,10.00,61.0:0.0 61.0:1.0 62.0:1.0 62.0:2.0 62.0:3.0 62.0:4.0 62.0:5.0 62.0:6.0 62.0:7.0 62.0:8.0 62.0:9.0
58,1,7.00,62.0:0.0 62.0:1.0 62.0:2.0 62.0:3.0 62.0:4.0 62.0:5.0 62.0:6.0 62.0:7.0
59,1,11.00,63.0:0.0 63.0:1.0 63.0:2.0 63.0:3.0 63.0:4.0 63.0:5.0 63.0:6.0 63.0:7.0 63.0:8.0 63.0:9.0 63.0:10.0 63.0:11.0
60,1,9.00,64.0:0.0 64.0:1.0 64.0:2.0 64.0:3.0 64.0:4.0 64.0:5.0 64.0:6.0 64.0:7.0 64.0:8.0 64.0:9.0
61,1,7.00,64.0:0.0 64.0:1.0 64.0:2.0 64.0:3.0 64.0:4.0 64.0:5.0 64.0:6.0 64.0:7.0
62,1,8.00,65.0:0.0 65.0:1.0 65.0:2.0 65.0:3.0 65.0:4.0 65.0:5.0 65.0:6.0 65.0:7.0 66.0:7.0
63,1,9.00,66.0:0.0 66.0:1.0 66.0:2.0 66.0:3.0 66.0:4.0 66.0:5.0 66.0:6.0 66.0:7.0 66.0:8.0 66.0:9.0
64,1,12.00,67.0:0.0 66.0:0.0 65.0:0.0 65.0:1.0 65.0:2.0 65.0:3.0 65.0:4.0 65.0:5.0 65.0:6.0 65.0:7.0 66.0:7.0 67.0:7.0 68.0:7.0
65,1,9.00,68.0:0.0 68.0:1.0 68.0:2.0 68.0:3.0 68.0:4.0 68.0:5.0 68.0:6.0 68.0:7.0 68.0:8.0 68.0:9.0
